feature_id	location	type	function	aliases	protein_md5
fig|1463165.1394.peg.2225	CCI165_S85_contig_8_167216+273	CDS	[NiFe] hydrogenase metallocenter assembly protein HypC		5c515ee9f7c2e5d5fa2fbecd80ba7b33
fig|1463165.1394.peg.2226	CCI165_S85_contig_8_167488+1122	CDS	[NiFe] hydrogenase metallocenter assembly protein HypD		f1863a8ba2c2f18d3c3b90acb4a71f04
fig|1463165.1394.peg.2227	CCI165_S85_contig_8_168606+1011	CDS	[NiFe] hydrogenase metallocenter assembly protein HypE		a22bb09fa78fad4c49ed604511859615
fig|1463165.1394.peg.2228	CCI165_S85_contig_8_169852+2073	CDS	Formate hydrogenlyase transcriptional activator		76bbd8bc57ab58cf95e597a226341344
fig|1463165.1394.peg.2229	CCI165_S85_contig_8_173378-1401	CDS	beta-glucosidase (EC 3.2.1.21)		440b1125b698c71f13c628c3c613487c
fig|1463165.1394.peg.2230	CCI165_S85_contig_8_175622-2193	CDS	Endo-b1,4-mannanase 5C		df164aac78035085e649c24b56b68e8a
fig|1463165.1394.peg.2231	CCI165_S85_contig_8_176972-1338	CDS	Outer membrane porin KPN_03071		6c32141cb99fa6e7d07280b839f1be50
fig|1463165.1394.peg.2232	CCI165_S85_contig_8_178608-1374	CDS	PTS system, cellobiose-specific IIC component		65d17f84d30b9fa70f4bf0d1a13343ab
fig|1463165.1394.peg.2233	CCI165_S85_contig_8_178684+315	CDS	PTS system, cellobiose-specific IIB component (EC 2.7.1.205)		af9a578fda01313291068917557e6924
fig|1463165.1394.peg.2234	CCI165_S85_contig_8_179008+1323	CDS	PTS system, cellobiose-specific IIC component		44f0399ead050f6f6a561f96d3bb9e6c
fig|1463165.1394.peg.2235	CCI165_S85_contig_8_180354+315	CDS	PTS system, IIA component		e7318eac57465cc9338622955215115c
fig|1463165.1394.peg.2236	CCI165_S85_contig_8_180719+444	CDS	ROK family sugar kinase or transcriptional regulator		3716e6ba3fd0ada0785a27e4cef9ad31
fig|1463165.1394.peg.2237	CCI165_S85_contig_9_3+285	CDS	hypothetical protein		e767b92fa6cc0f44054e1eaaec93e694
fig|1463165.1394.peg.2238	CCI165_S85_contig_9_284+1038	CDS	hypothetical protein		7b6858c570d8d91bcc4993661fd3deba
fig|1463165.1394.peg.2239	CCI165_S85_contig_9_1318+717	CDS	hypothetical protein		27bba57aace290d41e241e33e5dad2fd
fig|1463165.1394.peg.2240	CCI165_S85_contig_9_2031+333	CDS	FIG01047481: hypothetical protein		8e59e05ef9014c083452b8f01cb49e23
fig|1463165.1394.peg.2241	CCI165_S85_contig_9_2360+1419	CDS	Flp pilus assembly protein TadG		4f30372ca51bd57e5bd259ba1d25e17c
fig|1463165.1394.peg.2242	CCI165_S85_contig_9_3780+705	CDS	hypothetical protein		e22322a08ed8eea8bffdd0c5991cd2c1
fig|1463165.1394.peg.2243	CCI165_S85_contig_9_4786+2859	CDS	hypothetical protein		5f88240f448721f52b781e27f4456907
fig|1463165.1394.peg.2244	CCI165_S85_contig_9_7923+240	CDS	hypothetical protein		142bad307429f03d047fb4ca149530a8
fig|1463165.1394.peg.2245	CCI165_S85_contig_9_8162+318	CDS	hypothetical protein		3a162ad9f369852e0ead53bcafd8a4d8
fig|1463165.1394.peg.2246	CCI165_S85_contig_9_8491+1032	CDS	hypothetical protein		c0f2d5ea930c122c1aa4d57747591335
fig|1463165.1394.peg.2247	CCI165_S85_contig_9_10687-1161	CDS	Putative prophage CPS-53 integrase		29d97b019788abc6549c7d6a553e0b2c
fig|1463165.1394.peg.2248	CCI165_S85_contig_9_10686+135	CDS	hypothetical protein		ca2841d7348f0a1ee5c6d447240e33cf
fig|1463165.1394.rna.38	CCI165_S85_contig_9_10924-72	rna	tRNA-Arg-CCT		
fig|1463165.1394.peg.2249	CCI165_S85_contig_9_11943-930	CDS	Inner membrane protein YfdC		45e405cd5e6c9b7d776b8b1b4f58bcca
fig|1463165.1394.peg.2250	CCI165_S85_contig_9_12233+762	CDS	Outer-membrane-phospholipid-binding lipoprotein MlaA		65dd8a9357104eb86887eead538bf7a1
fig|1463165.1394.peg.2251	CCI165_S85_contig_9_14374-1323	CDS	Long-chain fatty acid transport protein		3bfde6d3d22cee53ec15ad19413b0481
fig|1463165.1394.peg.2252	CCI165_S85_contig_9_14748+285	CDS	UPF0381 protein YfcZ		b39a4f6215e57d141ec60c4e06915e1e
fig|1463165.1394.peg.2253	CCI165_S85_contig_9_15191+1311	CDS	3-ketoacyl-CoA thiolase (EC 2.3.1.16)		2c505d2d4545e8de479c474263d57f15
fig|1463165.1394.peg.2254	CCI165_S85_contig_9_16501+2145	CDS	Enoyl-CoA hydratase (EC 4.2.1.17) / 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35) / 3-hydroxybutyryl-CoA epimerase (EC 5.1.2.3)		ff0d6db40595a2b74e90fc3864f99dd2
fig|1463165.1394.peg.2255	CCI165_S85_contig_9_18954+387	CDS	Phosphohistidine phosphatase SixA		5c398fbc1a62642b01ab2731c62f74ad
fig|1463165.1394.peg.2256	CCI165_S85_contig_9_19911-552	CDS	UPF0115 protein YfcN		a4fceab2ba3b41bfa04151faffa6dbe7
fig|1463165.1394.peg.2257	CCI165_S85_contig_9_20007+1005	CDS	Ribosomal protein L3 N(5)-glutamine methyltransferase (EC 2.1.1.298)		55f1cbb79a5e6f67d52f454e4396ac4d
fig|1463165.1394.peg.2258	CCI165_S85_contig_9_21053+1086	CDS	Chorismate synthase (EC 4.2.3.5)		af86bcbb11cb238c608a935280775b0f
fig|1463165.1394.peg.2259	CCI165_S85_contig_9_22141+825	CDS	Penicillin-insensitive murein endopeptidase		dd1f094a5967d70a8804fea1f7e80e26
fig|1463165.1394.peg.2260	CCI165_S85_contig_9_22965+810	CDS	Transmembrane protein YfcA		bd0e21aa1262d79510803a9e8cbe8a52
fig|1463165.1394.peg.2261	CCI165_S85_contig_9_23756+567	CDS	Translation elongation factor P Lys34 hydroxylase		e12d02c91872803dd722da6893f208c6
fig|1463165.1394.peg.2262	CCI165_S85_contig_9_24354+282	CDS	Uncharacterized protein YfcL		7ca4fe5829cba864b2f3ec7663dbfbb7
fig|1463165.1394.peg.2263	CCI165_S85_contig_9_26685-1989	CDS	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase (EC 2.1.1.61) / FAD-dependent cmnm(5)s(2)U34 oxidoreductase		70a33fd6593ca62444d35a745321db9b
fig|1463165.1394.peg.2264	CCI165_S85_contig_9_26844+1221	CDS	3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)		9717ce8502cef38430684f73eb158e0b
fig|1463165.1394.peg.2265	CCI165_S85_contig_9_28274+1176	CDS	UPF0226 protein YfcJ		64003ca52ed002f9207ef7bca73d73cc
fig|1463165.1394.peg.2266	CCI165_S85_contig_9_30513-978	CDS	Flagellar regulator flk		023b1c0b176a58555382cdf9582b00a2
fig|1463165.1394.peg.2267	CCI165_S85_contig_9_30624+1137	CDS	Erythronate-4-phosphate dehydrogenase (EC 1.1.1.290)		b8b7e04bd6ed84d096266a2741290812
fig|1463165.1394.peg.2268	CCI165_S85_contig_9_31824+1014	CDS	Semialdehyde dehydrogenase, USG-1 protein		52d1c71836f341cbf641234e6f437d9c
fig|1463165.1394.peg.2269	CCI165_S85_contig_9_32837+813	CDS	tRNA pseudouridine(38-40) synthase (EC 5.4.99.12)		a7661f1dad9423096aa591208153133e
fig|1463165.1394.peg.2270	CCI165_S85_contig_9_33676+660	CDS	DedA protein		7ff533f14a84557e3a6acf2bba608f93
fig|1463165.1394.peg.2271	CCI165_S85_contig_9_34458+984	CDS	Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)		91208c14046a29349860b49097f5c0d3
fig|1463165.1394.peg.2272	CCI165_S85_contig_9_35517+1269	CDS	Dihydrofolate synthase (EC 6.3.2.12) @ Folylpolyglutamate synthase (EC 6.3.2.17)		426eafe6a83ed7a1ee46384bf54d4121
fig|1463165.1394.peg.2273	CCI165_S85_contig_9_36775+687	CDS	Septum-associated cell division protein DedD		1d2a89a54d011ff4bf9add6920286bb4
fig|1463165.1394.peg.2274	CCI165_S85_contig_9_37679+489	CDS	Colicin V production protein		2cf046c8c95317521ee5c66a4735c113
fig|1463165.1394.peg.2275	CCI165_S85_contig_9_38201+1518	CDS	Amidophosphoribosyltransferase (EC 2.4.2.14)		4ba65e99c8d866ce598d1db4da7cd396
fig|1463165.1394.peg.2276	CCI165_S85_contig_9_39856+585	CDS	Flavin prenyltransferase UbiX		38413a37b6f39639870f73a8701c11c7
fig|1463165.1394.peg.2277	CCI165_S85_contig_9_40441+213	CDS	hypothetical protein		01005106e61d5edf243d1ca105451ee8
fig|1463165.1394.peg.2278	CCI165_S85_contig_9_40708+783	CDS	Lysine-arginine-ornithine-binding ABC transporter, substrate-binding protein ArgT (TC 3.A.1.3.1)		0cf23f51c68a8e24fc25ca58087d53c2
fig|1463165.1394.peg.2279	CCI165_S85_contig_9_41758+783	CDS	Histidine ABC transporter, substrate-binding protein HisJ (TC 3.A.1.3.1)		1d4e3b8d82ff82c113c02beef392bd77
fig|1463165.1394.peg.2280	CCI165_S85_contig_9_42607+687	CDS	Histidine ABC transporter, permease protein HisQ (TC 3.A.1.3.1)		63f50876c493b330592ce66cae8e639e
fig|1463165.1394.peg.2281	CCI165_S85_contig_9_43290+717	CDS	Histidine ABC transporter, permease protein HisM (TC 3.A.1.3.1)		d6a21b82fd2a8a26ca8557475c798938
fig|1463165.1394.peg.2282	CCI165_S85_contig_9_44014+774	CDS	Histidine ABC transporter, ATP-binding protein HisP (TC 3.A.1.3.1)		0b96c013e43e5d7818b7340f18930384
fig|1463165.1394.peg.2283	CCI165_S85_contig_9_45320-528	CDS	Acetyltransferase, GNAT family		10397435ed45e18909cd4315ab29d5f2
fig|1463165.1394.peg.2284	CCI165_S85_contig_9_46429-894	CDS	Cell division inhibitor Slr1223 (YfcH in EC), contains epimerase/dehydratase and DUF1731 domains		5b30348f7d56574031e7ca782e7ff2ef
fig|1463165.1394.peg.2285	CCI165_S85_contig_9_46810-363	CDS	D-erythro-7,8-dihydroneopterin triphosphate epimerase		852adfffe31ead6970f67621efd7d845
fig|1463165.1394.peg.2286	CCI165_S85_contig_9_47505-630	CDS	Glutathione S-transferase (EC 2.5.1.18)		46cf6a406fb9a53ec9db8a7f54bea516
fig|1463165.1394.peg.2287	CCI165_S85_contig_9_47675+645	CDS	Probable glutathione S-transferase (EC 2.5.1.18), YfcF homolog		ae16a9d4f8caff175ed1e72adf59ee3a
fig|1463165.1394.peg.2288	CCI165_S85_contig_9_48376+552	CDS	Phosphodiesterase YfcE		241940cfbb3caea38a3d024041d9a3e7
fig|1463165.1394.peg.2289	CCI165_S85_contig_9_48985+552	CDS	Uncharacterized Nudix hydrolase YfcD		3c9fefe505d82dada3765983e2506cad
fig|1463165.1394.peg.2290	CCI165_S85_contig_9_51772-2148	CDS	BioD-like N-terminal domain / Phosphate acetyltransferase (EC 2.3.1.8)		9f04b5c79838cba5de416d13d78e644c
fig|1463165.1394.peg.2291	CCI165_S85_contig_9_53165-1203	CDS	Acetate kinase (EC 2.7.2.1)		00ab457e77ed9f4c0d003124c5ecd8e7
fig|1463165.1394.peg.2292	CCI165_S85_contig_9_53316-126	CDS	hypothetical protein		53fb33fc4f2a115b0d7481b75916890b
fig|1463165.1394.peg.2293	CCI165_S85_contig_9_53504+456	CDS	UPF0208 membrane protein YfbV		47ea4bf1f388e0fad5a051f305e4b738
fig|1463165.1394.peg.2294	CCI165_S85_contig_9_54047+495	CDS	UPF0304 protein yfbU		0a8e799de7f5fa7392c4c6aa1d469c85
fig|1463165.1394.peg.2295	CCI165_S85_contig_9_54553+660	CDS	Hexitol phosphatase HxpA (EC 3.1.3.22) (EC 3.1.3.23) (EC 3.1.3.50)		258fb60fa014c2aad6ec816a01f59349
fig|1463165.1394.peg.2296	CCI165_S85_contig_9_55289+1833	CDS	Uncharacterized transporter YfbS		bf7a2ac5695a8baa50210a7595cc54f4
fig|1463165.1394.peg.2297	CCI165_S85_contig_9_57766-600	CDS	5'-deoxynucleotidase YfbR (EC 3.1.3.89)		79e0e3619f1c0693330ea289315e89c5
fig|1463165.1394.peg.2298	CCI165_S85_contig_9_59065-1218	CDS	Alanine transaminase (EC 2.6.1.2)		fbe5362caadd1731d85341633281abd7
fig|1463165.1394.peg.2299	CCI165_S85_contig_9_59593+153	CDS	hypothetical protein		a913d0b420adaf03c3c62d590c6fc327
fig|1463165.1394.peg.2300	CCI165_S85_contig_9_59941+927	CDS	LysR family transcriptional regulator LrhA		9acdc4ffea50be152f70f85805180778
fig|1463165.1394.peg.2301	CCI165_S85_contig_9_60936+195	CDS	hypothetical protein		d47a3ffd8c6e5a24d3c3c93860552369
fig|1463165.1394.peg.2302	CCI165_S85_contig_9_61518+447	CDS	NADH ubiquinone oxidoreductase chain A (EC 1.6.5.3)		9f79ab075a54663350ed7e28946b6edd
fig|1463165.1394.peg.2303	CCI165_S85_contig_9_61980+675	CDS	NADH-ubiquinone oxidoreductase chain B (EC 1.6.5.3)		8136da8c043058956eaa91c4626ae372
fig|1463165.1394.peg.2304	CCI165_S85_contig_9_62742+1809	CDS	NADH-ubiquinone oxidoreductase chain C (EC 1.6.5.3) / NADH-ubiquinone oxidoreductase chain D (EC 1.6.5.3)		297df6ba3513af90b55a3bd1bd613f4e
fig|1463165.1394.peg.2305	CCI165_S85_contig_9_64553+501	CDS	NADH-ubiquinone oxidoreductase chain E (EC 1.6.5.3)		5aa2aca82abfc92a120e297830ab790c
fig|1463165.1394.peg.2306	CCI165_S85_contig_9_65050+1338	CDS	NADH-ubiquinone oxidoreductase chain F (EC 1.6.5.3)		66679e5e1e159a24f4fb8eb95f486845
fig|1463165.1394.peg.2307	CCI165_S85_contig_9_66421+2727	CDS	NADH-ubiquinone oxidoreductase chain G (EC 1.6.5.3)		e3a760544b06eb42a99fdfdc1b8bcd63
fig|1463165.1394.peg.2308	CCI165_S85_contig_9_69144+978	CDS	NADH-ubiquinone oxidoreductase chain H (EC 1.6.5.3)		dcf2970f1560cf31053adf0b95827736
fig|1463165.1394.peg.2309	CCI165_S85_contig_9_70136+543	CDS	NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3)		5c4facef10fe0fa61935e6469216e060
fig|1463165.1394.peg.2310	CCI165_S85_contig_9_70689+555	CDS	NADH-ubiquinone oxidoreductase chain J (EC 1.6.5.3)		e32e27a1741fa581d9e53de239de30c5
fig|1463165.1394.peg.2311	CCI165_S85_contig_9_71240+303	CDS	NADH-ubiquinone oxidoreductase chain K (EC 1.6.5.3)		6b584b3ae2604fb1031e173409a7e85f
fig|1463165.1394.peg.2312	CCI165_S85_contig_9_71539+1842	CDS	NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3)		a2a326aab68f3f61fa84384c27e1e2aa
fig|1463165.1394.peg.2313	CCI165_S85_contig_9_73679+1530	CDS	NADH-ubiquinone oxidoreductase chain M (EC 1.6.5.3)		061c7aaeb0b117b2028db8bb430dcc1b
fig|1463165.1394.peg.2314	CCI165_S85_contig_9_75215+1458	CDS	NADH-ubiquinone oxidoreductase chain N (EC 1.6.5.3)		7f0bd9e06fde84433c381fec741f2d4c
fig|1463165.1394.peg.2315	CCI165_S85_contig_9_77649-921	CDS	Ribonuclease Z (EC 3.1.26.11)		52d2b36ab193b4453aad634757fca7cf
fig|1463165.1394.peg.2316	CCI165_S85_contig_9_77707+462	CDS	N-acetyltransferase ElaA		7432f72bfc6aef3ebbd72874763cf0b0
fig|1463165.1394.peg.2317	CCI165_S85_contig_9_78304+1290	CDS	Isochorismate synthase (EC 5.4.4.2) @ Menaquinone-specific isochorismate synthase (EC 5.4.4.2)		ebe2779546d92535ddad9eaf14bf9329
fig|1463165.1394.peg.2318	CCI165_S85_contig_9_79675+1671	CDS	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase (EC 2.2.1.9)		e18aa77ced0f8f8ced8e6a6b64ef208c
fig|1463165.1394.peg.2319	CCI165_S85_contig_9_81342+759	CDS	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase (EC 4.2.99.20)		63c957f3cdc06f33965cf34aebf9ae3e
fig|1463165.1394.peg.2320	CCI165_S85_contig_9_82115+858	CDS	Naphthoate synthase (EC 4.1.3.36)		d3e4b8a847c337045892e4fcb33abc28
fig|1463165.1394.peg.2321	CCI165_S85_contig_9_82972+966	CDS	O-succinylbenzoate synthase (EC 4.2.1.113)		4827fcaa28bf5f3af1ada9fe3e39ebc0
fig|1463165.1394.peg.2322	CCI165_S85_contig_9_83934+1362	CDS	O-succinylbenzoic acid--CoA ligase (EC 6.2.1.26)		899caadf5580dcd177ecda71d6da41f1
fig|1463165.1394.peg.2323	CCI165_S85_contig_9_86809-1518	CDS	Tripartite tricarboxylate transporter TctA family		da298266c1be731a6ebccf00dcb9b4fd
fig|1463165.1394.peg.2324	CCI165_S85_contig_9_87252-432	CDS	Tripartite tricarboxylate transporter TctB family		51cfbeed17153ea7ca31ffcd8bfbba62
fig|1463165.1394.peg.2325	CCI165_S85_contig_9_88248-981	CDS	Tripartite tricarboxylate transporter TctC family		ee651d13f5e045de5646e17ed03086a4
fig|1463165.1394.peg.2326	CCI165_S85_contig_9_88382+678	CDS	Tricarboxylate transport transcriptional regulator TctD		77097f7bdb668d67dd3afd4e57fb75a3
fig|1463165.1394.peg.2327	CCI165_S85_contig_9_89046+1407	CDS	Tricarboxylate transport sensor protein TctE		139a0390c69cd9b7f5ce95ef1021c70f
fig|1463165.1394.peg.2328	CCI165_S85_contig_9_90869-426	CDS	Pyrimidine deoxynucleoside triphosphate (dYTP) pyrophosphohydrolase NudI		8854b45c4b521d8bfdcd4f7649e8fca1
fig|1463165.1394.peg.2329	CCI165_S85_contig_9_91008+942	CDS	hypothetical protein		b2ef9585ac71642cd7d5def55476aab9
fig|1463165.1394.peg.2330	CCI165_S85_contig_9_92270-135	CDS	hypothetical protein		5abc9bca83f9010d08b6479f88f9e04c
fig|1463165.1394.peg.2331	CCI165_S85_contig_9_92269+507	CDS	Uncharacterized outer membrane protein YfaZ		90128d307f254c3bdb4fd295f43a5de5
fig|1463165.1394.peg.2332	CCI165_S85_contig_9_92878+1197	CDS	ADP-ribose pyrophosphatase of COG1058 family (EC 3.6.1.13) / Nicotinamide-nucleotide amidase paralog YfaY, no functional activity		96f6b7dab3c8aa5cf72f72e914e0f51c
fig|1463165.1394.peg.2333	CCI165_S85_contig_9_94278+786	CDS	L-rhamnonate utilization transcriptional regulator (predicted by genome context)		dc96daba2f4c3ec428ad1b7f20f5afc9
fig|1463165.1394.peg.2334	CCI165_S85_contig_9_95074+1206	CDS	L-rhamnonate dehydratase (EC 4.2.1.90)		52aac1243c0d87304c78bdade2c759b3
fig|1463165.1394.peg.2335	CCI165_S85_contig_9_96318+1293	CDS	L-rhamnonate transporter (predicted by genome context)		b217ae0730c7ae3c4b9c9abae395fb9c
fig|1463165.1394.peg.2336	CCI165_S85_contig_9_97625+804	CDS	2-keto-3-deoxy-L-rhamnonate aldolase (EC 4.1.2.53)		b080d635d4e3eb549318c13362122e7b
fig|1463165.1394.peg.2337	CCI165_S85_contig_9_99628-1179	CDS	Anaerobic glycerol-3-phosphate dehydrogenase subunit C (EC 1.1.5.3)		ac8210cc00dbf77226934b4d3e557ca5
fig|1463165.1394.peg.2338	CCI165_S85_contig_9_100884-1260	CDS	Anaerobic glycerol-3-phosphate dehydrogenase subunit B (EC 1.1.5.3)		69ba3982d8177a30b039769e5634a6f4
fig|1463165.1394.peg.2339	CCI165_S85_contig_9_102496-1623	CDS	Anaerobic glycerol-3-phosphate dehydrogenase subunit A (EC 1.1.5.3)		058a093a76b1acd49829f7d5819537f1
fig|1463165.1394.peg.2340	CCI165_S85_contig_9_102769+1347	CDS	Glycerol-3-phosphate transporter		f882451ce5bf5e64e0bf1fe8883bfc14
fig|1463165.1394.peg.2341	CCI165_S85_contig_9_104125+1071	CDS	Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46) periplasmic (secreted in GramPositives)		62de3f8cf7832ddacafe317353dc4e17
fig|1463165.1394.peg.2342	CCI165_S85_contig_9_105913-255	CDS	YfaE: ferredoxin involved with ribonucleotide reductase diferric-tyrosyl radical (Y*) cofactor maintenance		32ce91ceb162cfb30e97b6a00f23d42d
fig|1463165.1394.peg.2343	CCI165_S85_contig_9_107043-1131	CDS	Ribonucleotide reductase of class Ia (aerobic), beta subunit (EC 1.17.4.1)		c60ed94cd5ceb9609d05947f5ff83cbd
fig|1463165.1394.peg.2344	CCI165_S85_contig_9_109430-2286	CDS	Ribonucleotide reductase of class Ia (aerobic), alpha subunit (EC 1.17.4.1)		2a62a767199e516c7fb37024086f78e9
fig|1463165.1394.peg.2345	CCI165_S85_contig_9_110503-729	CDS	3-demethylubiquinol 3-O-methyltransferase (EC 2.1.1.64) @ 2-polyprenyl-6-hydroxyphenyl methylase (EC 2.1.1.222)		50af9773c86e352a3344d710211016fc
fig|1463165.1394.peg.2346	CCI165_S85_contig_9_110650+2634	CDS	DNA gyrase subunit A (EC 5.99.1.3)		21f20e9cff99fc4ad65099ba1a088556
fig|1463165.1394.peg.2347	CCI165_S85_contig_9_113415+2841	CDS	Sensor histidine kinase RcsC (EC 2.7.13.3)		31012e16c0ff8eff91735026671ddb8d
fig|1463165.1394.peg.2348	CCI165_S85_contig_9_116951-651	CDS	DNA-binding capsular synthesis response regulator RcsB		7223f8de8994e9279bc6d83870227969
fig|1463165.1394.peg.2349	CCI165_S85_contig_9_119624-2658	CDS	Phosphotransferase RcsD		024ee6104a3428ad409dcc5722cf47c2
fig|1463165.1394.peg.2350	CCI165_S85_contig_9_120084-156	CDS	hypothetical protein		025ce64ac426ddd6fad17df41c46c39a
fig|1463165.1394.peg.2351	CCI165_S85_contig_9_120397+1092	CDS	Outer membrane porin OmpC		8be68a209a1b7bc5c7afbdd2125f1f3e
fig|1463165.1394.peg.2352	CCI165_S85_contig_9_121592+1053	CDS	FAD:protein FMN transferase (EC 2.7.1.180)		b05fe6aa312a451a9853856febd90cdb
fig|1463165.1394.peg.2353	CCI165_S85_contig_9_122718+1065	CDS	Methylphosphotriester-DNA--protein-cysteine S-methyltransferase (EC 2.1.1.n11) / ADA regulatory protein / Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63)		835e68af50fdc127f65ebddb1cecec9b
fig|1463165.1394.peg.2354	CCI165_S85_contig_9_123782+654	CDS	Alpha-ketoglutarate-dependent dioxygenase AlkB (EC 1.14.11.33)		7a219bedbb8bf6ae27c81a78d2ac4364
fig|1463165.1394.peg.2355	CCI165_S85_contig_9_124510+1644	CDS	ABC-type siderophore export system, fused ATPase and permease components		c25bbc0ffbfa504cfb89d3a21bc0499c
fig|1463165.1394.peg.2356	CCI165_S85_contig_9_126302+1437	CDS	Mg/Co/Ni transporter MgtE, CBS domain-containing		a19c7d2b102887767283e87a50b2d580
fig|1463165.1394.peg.2357	CCI165_S85_contig_9_128939-1239	CDS	Sulfate permease		8071ebbec97d73b5264eb0ab56e188bc
fig|1463165.1394.peg.2358	CCI165_S85_contig_9_129214-138	CDS	hypothetical protein		f8838fcfd1f2466d7902e5503f251a7d
fig|1463165.1394.peg.2359	CCI165_S85_contig_9_129220+1635	CDS	Malate:quinone oxidoreductase (EC 1.1.5.4)		f840c0935fbf7b229c31a70660fc4e5b
fig|1463165.1394.peg.2360	CCI165_S85_contig_9_131401-492	CDS	Proteinase inhibitor I11, ecotin precursor		4f3ece3102055996d2088d0d635bd45c
fig|1463165.1394.peg.2361	CCI165_S85_contig_9_132684-1110	CDS	Uncharacterized UPF0118 membrane protein		0b221fdc38c6afa65484d90c06c9747a
fig|1463165.1394.rna.39	CCI165_S85_contig_9_132946-77	rna	tRNA-Pro-GGG		
fig|1463165.1394.peg.2362	CCI165_S85_contig_9_134783-1761	CDS	Inner membrane protein YejM, alkaline phosphatase superfamily		a056623ca9fe94bd8c68c89f4170f07f
fig|1463165.1394.peg.2363	CCI165_S85_contig_9_135065-264	CDS	UPF0352 protein YejL		032de2ed0fe1f8221b82a82f75491000
fig|1463165.1394.peg.2364	CCI165_S85_contig_9_135216+1008	CDS	Nucleoid-associated protein NdpA		802d7517d7e646138b7ba5584dfee8c1
fig|1463165.1394.peg.2365	CCI165_S85_contig_9_137005-768	CDS	Transcriptional regulator		3e223e6570433e86601e7e62b286977a
fig|1463165.1394.peg.2366	CCI165_S85_contig_9_137087+597	CDS	Nudix hydrolase family protein KPN_02621		b93f8d884097316863d457cd816b48b8
fig|1463165.1394.peg.2367	CCI165_S85_contig_9_138989-1287	CDS	Beta-lactamase class C-like and penicillin binding proteins (PBPs) superfamily		e56e6aeffd43970f9fff6309030ddfb3
fig|1463165.1394.peg.2368	CCI165_S85_contig_9_139093+888	CDS	Transcriptional regulator, LysR family		01ff4a7fb555478ffbadd028912b9a75
fig|1463165.1394.peg.2369	CCI165_S85_contig_9_140323-285	CDS	LSU ribosomal protein L25p		be24824963888546f8817d022c826a5f
fig|1463165.1394.peg.2370	CCI165_S85_contig_9_142217-1758	CDS	ATP-dependent RNA helicase YejH		58734563c829a75bf88895cda8f33c87
fig|1463165.1394.peg.2371	CCI165_S85_contig_9_142365+720	CDS	SSU rRNA pseudouridine(516) synthase (EC 5.4.99.19)		db7c7890831ee0aaf4db8a201e773af8
fig|1463165.1394.peg.2372	CCI165_S85_contig_9_143081+1197	CDS	Multidrug resistance transporter => Bicyclomycin resistance protein Bcr-1		bee52554e385f9e40e043ddfc9ab15ec
fig|1463165.1394.peg.2373	CCI165_S85_contig_9_144608+345	CDS	Uncharacterized protein YejG		17c42f351ce4b4e29c19e5bea02c08f5
fig|1463165.1394.peg.2374	CCI165_S85_contig_9_146545-1590	CDS	ABC transporter, ATP-binding protein YejF		ed5f1c9eb0aaaa728660376538dc8d43
fig|1463165.1394.peg.2375	CCI165_S85_contig_9_147572-1026	CDS	ABC transporter, permease protein YejE		18a8edcb259d3ba86f57689847e815c9
fig|1463165.1394.peg.2376	CCI165_S85_contig_9_148666-1095	CDS	ABC transporter, permease protein YejB		bb89723beb0b971bf406218993fe77f4
fig|1463165.1394.peg.2377	CCI165_S85_contig_9_150481-1806	CDS	ABC transporter, substrate-binding protein YejA		274c236b683ee8254f00d1be6a19f481
fig|1463165.1394.peg.2378	CCI165_S85_contig_9_152112-1563	CDS	c-di-GMP phosphodiesterase (EC 3.1.4.52) => PdeN		48a344bad85a84a1c29b9357806e0686
fig|1463165.1394.peg.2379	CCI165_S85_contig_9_152742-444	CDS	Murein DD-endopeptidase MepS @ Murein LD-carboxypeptidase (EC 3.4.17.13)		e6ecd27e8533b0cbca9a664c3bd437aa
fig|1463165.1394.peg.2380	CCI165_S85_contig_9_154002-708	CDS	Lipid A 1-diphosphate synthase		57a68d2fff65fbe9ac9e9dd5f4afa907
fig|1463165.1394.peg.2381	CCI165_S85_contig_9_155023-978	CDS	Zinc-binding GTPase YeiR		cb7b4193fd7276f5de603738c4196853
fig|1463165.1394.peg.2382	CCI165_S85_contig_9_156610-1467	CDS	D-mannonate oxidoreductase (EC 1.1.1.57)		9e29c6fc62c43044197866f6f57f4806
fig|1463165.1394.peg.2383	CCI165_S85_contig_9_156818+1191	CDS	Mannonate dehydratase (EC 4.2.1.8)		8f202c96c66e02af7a56bdd67eb8341e
fig|1463165.1394.peg.2384	CCI165_S85_contig_9_158651-573	CDS	Elongation factor P-like protein		ac592a6c4cfd4fb0fd002fabbd077741
fig|1463165.1394.peg.2385	CCI165_S85_contig_9_158799+255	CDS	UPF0153 protein YeiW		e4c87f33f6707d082d97c1d32bb6e89a
